Año,Trimestre,Mes,Día,Suma de Monto Dolar,Promedio Acumulado Monto Dolar 7 días,Primera fecha: Date
2021,Trim. 1,enero,5,"$1025,174371214419","$1025,174371214419",2021-01-05 00:00:00
2021,Trim. 1,enero,6,"$338,5564518409338","$681,8654115276763",2021-01-06 00:00:00
2021,Trim. 1,enero,7,"$559,099980945763","$640,9436013337053",2021-01-07 00:00:00
2021,Trim. 1,enero,8,"$406,8777047551391","$582,4271271890636",2021-01-08 00:00:00
2021,Trim. 1,enero,9,"$113,5601970443929","$488,6537411601295",2021-01-09 00:00:00
2021,Trim. 1,enero,10,,"$488,6537411601295",2021-01-10 00:00:00
2021,Trim. 1,enero,11,"$986,7267672250125","$571,6659121709432",2021-01-11 00:00:00
2021,Trim. 1,enero,12,"$725,7638781320474","$593,6799073082439",2021-01-12 00:00:00
2021,Trim. 1,enero,13,"$480,6461886950531","$515,8901669483346",2021-01-13 00:00:00
2021,Trim. 1,enero,14,"$999,1879334421163","$610,2660928913607",2021-01-14 00:00:00
2021,Trim. 1,enero,15,"$1053,020968808878","$680,8262340146628",2021-01-15 00:00:00
2021,Trim. 1,enero,16,"$413,0005156281772","$681,7009212822396",2021-01-16 00:00:00
2021,Trim. 1,enero,17,,"$776,3910419885474",2021-01-17 00:00:00
2021,Trim. 1,enero,18,"$881,3415815360229","$791,3839762096153",2021-01-18 00:00:00
2021,Trim. 1,enero,19,"$777,4127186640133","$761,4819692723297",2021-01-19 00:00:00
2021,Trim. 1,enero,20,"$801,6169521252054","$772,3181226999238",2021-01-20 00:00:00
2021,Trim. 1,enero,21,"$564,0675361925214","$784,2354580567051",2021-01-21 00:00:00
2021,Trim. 1,enero,22,"$704,632135985542","$742,1560584200515",2021-01-22 00:00:00
2021,Trim. 1,enero,23,"$241,3912614081347","$626,2089573628025",2021-01-23 00:00:00
2021,Trim. 1,enero,24,,"$661,7436976519066",2021-01-24 00:00:00
2021,Trim. 1,enero,25,"$1082,488334075208","$721,8500742838067",2021-01-25 00:00:00
2021,Trim. 1,enero,26,"$1511,613371057404","$811,8889013582897",2021-01-26 00:00:00
2021,Trim. 1,enero,27,"$545,2411113028589","$778,721528878125",2021-01-27 00:00:00
2021,Trim. 1,enero,28,"$741,8839882309422","$770,1882483218016",2021-01-28 00:00:00
2021,Trim. 1,enero,29,"$719,8014246968388","$792,4359466795612",2021-01-29 00:00:00
2021,Trim. 1,enero,30,"$228,3427526466556","$724,3946062025774",2021-01-30 00:00:00
2021,Trim. 1,enero,31,,"$804,8951636683179",2021-01-31 00:00:00
2021,Trim. 1,febrero,1,"$597,7429872759044","$775,3019956122589",2021-02-01 00:00:00
2021,Trim. 1,febrero,2,"$928,1123084763504","$753,2482776695648",2021-02-02 00:00:00
2021,Trim. 1,febrero,3,"$448,7884141820028","$601,416140973079",2021-02-03 00:00:00
2021,Trim. 1,febrero,4,"$676,6583485790742","$620,1900320125384",2021-02-04 00:00:00
2021,Trim. 1,febrero,5,"$1448,390863897076","$721,1195856791289",2021-02-05 00:00:00
2021,Trim. 1,febrero,6,"$285,7066488304338","$659,1060462696424",2021-02-06 00:00:00
2021,Trim. 1,febrero,7,,"$730,8999285401402",2021-02-07 00:00:00
2021,Trim. 1,febrero,8,"$528,3333921836808","$701,961851917789",2021-02-08 00:00:00
2021,Trim. 1,febrero,9,"$1052,128996322486","$766,8741389244434",2021-02-09 00:00:00
2021,Trim. 1,febrero,10,"$945,0115169980497","$769,2883115704007",2021-02-10 00:00:00
2021,Trim. 1,febrero,11,"$1353,421369811541","$898,5215909460487",2021-02-11 00:00:00
2021,Trim. 1,febrero,12,"$556,6778049638833","$881,3815132867358",2021-02-12 00:00:00
2021,Trim. 1,febrero,13,"$660,0326742955984","$768,758914772239",2021-02-13 00:00:00
2021,Trim. 1,febrero,14,,"$849,2676257625399",2021-02-14 00:00:00
2021,Trim. 1,febrero,15,,"$849,2676257625399",2021-02-15 00:00:00
2021,Trim. 1,febrero,16,,"$913,4544724783116",2021-02-16 00:00:00
2021,Trim. 1,febrero,17,"$611,0674582920719","$825,242164872229",2021-02-17 00:00:00
2021,Trim. 1,febrero,18,"$801,5545589720251","$796,5507732670239",2021-02-18 00:00:00
2021,Trim. 1,febrero,19,"$501,9102517052244","$626,2485496457606",2021-02-19 00:00:00
2021,Trim. 1,febrero,20,"$194,3147589607415","$553,7759404451323",2021-02-20 00:00:00
2021,Trim. 1,febrero,21,,"$527,2117569825157",2021-02-21 00:00:00
2021,Trim. 1,febrero,22,"$433,809853332019","$508,5313762524164",2021-02-22 00:00:00
2021,Trim. 1,febrero,23,"$1605,32825641846","$691,3308562800903",2021-02-23 00:00:00
2021,Trim. 1,febrero,24,"$1137,025340221255","$755,0014968431138",2021-02-24 00:00:00
2021,Trim. 1,febrero,25,"$620,210707100689","$756,3076752443449",2021-02-25 00:00:00
2021,Trim. 1,febrero,26,"$722,5593932778382","$745,0226515737467",2021-02-26 00:00:00
2021,Trim. 1,febrero,27,,"$785,5413848851671",2021-02-27 00:00:00
2021,Trim. 1,febrero,28,,"$903,7867100700523",2021-02-28 00:00:00
2021,Trim. 1,marzo,1,"$1282,797022685385","$966,9550955059411",2021-03-01 00:00:00
2021,Trim. 1,marzo,2,"$327,1179973788484","$949,173119513746",2021-03-02 00:00:00
2021,Trim. 1,marzo,3,"$521,8560746477799","$768,594422551966",2021-03-03 00:00:00
2021,Trim. 1,marzo,4,"$1258,638820573972","$788,8633359440855",2021-03-04 00:00:00
2021,Trim. 1,marzo,5,"$606,8677119951949","$786,639503426503",2021-03-05 00:00:00
2021,Trim. 1,marzo,6,"$138,3173337268024","$689,2658268346639",2021-03-06 00:00:00
2021,Trim. 1,marzo,7,,"$689,2658268346639",2021-03-07 00:00:00
2021,Trim. 1,marzo,8,"$566,6446117418132","$671,7485103928282",2021-03-08 00:00:00
2021,Trim. 1,marzo,9,"$696,2628910294445","$587,9579201562652",2021-03-09 00:00:00
2021,Trim. 1,marzo,10,"$616,0130442926074","$629,2286411439451",2021-03-10 00:00:00
2021,Trim. 1,marzo,11,"$456,7553170853906","$619,9285329207465",2021-03-11 00:00:00
2021,Trim. 1,marzo,12,"$379,0552891285996","$494,2737427142647",2021-03-12 00:00:00
2021,Trim. 1,marzo,13,"$146,2698586893245","$428,4740493848546",2021-03-13 00:00:00
2021,Trim. 1,marzo,14,,"$476,83350199453",2021-03-14 00:00:00
2021,Trim. 1,marzo,15,"$772,1041135171072","$519,0150179263267",2021-03-15 00:00:00
2021,Trim. 1,marzo,16,"$658,3946141559255","$532,1221611283428",2021-03-16 00:00:00
2021,Trim. 1,marzo,17,"$633,9445183830937","$523,2195364645785",2021-03-17 00:00:00
2021,Trim. 1,marzo,18,"$404,6967170314397","$493,0314897129829",2021-03-18 00:00:00
2021,Trim. 1,marzo,19,"$227,4190457594146","$460,2691652378435",2021-03-19 00:00:00
2021,Trim. 1,marzo,20,"$70,45660518763711","$416,1836389605633",2021-03-20 00:00:00
2021,Trim. 1,marzo,21,,"$461,1692690057696",2021-03-21 00:00:00
2021,Trim. 1,marzo,22,"$286,7857000858539","$436,2573305886389",2021-03-22 00:00:00
2021,Trim. 1,marzo,23,"$644,9810465996413","$418,0968924575723",2021-03-23 00:00:00
2021,Trim. 1,marzo,24,"$305,0020405039395","$367,6122390787172",2021-03-24 00:00:00
2021,Trim. 1,marzo,25,"$691,916383523754","$375,8939340988114",2021-03-25 00:00:00
2021,Trim. 1,marzo,26,"$422,453510802404","$378,4306189232349",2021-03-26 00:00:00
2021,Trim. 1,marzo,27,"$125,7854762789253","$363,9115375688793",2021-03-27 00:00:00
2021,Trim. 1,marzo,28,,"$412,8206929657529",2021-03-28 00:00:00
2021,Trim. 1,marzo,29,"$389,733210434177","$409,5224811755278",2021-03-29 00:00:00
2021,Trim. 1,marzo,30,"$387,0512641615123","$423,8461331863361",2021-03-30 00:00:00
2021,Trim. 1,marzo,31,"$492,0644582682484","$402,0009062818515",2021-03-31 00:00:00
2021,Trim. 2,abril,1,,"$418,1673839115035",2021-04-01 00:00:00
2021,Trim. 2,abril,2,,"$363,4175839890534",2021-04-02 00:00:00
2021,Trim. 2,abril,3,,"$348,6586022857157",2021-04-03 00:00:00
2021,Trim. 2,abril,4,,"$422,9496442879792",2021-04-04 00:00:00
2021,Trim. 2,abril,5,"$310,5509236003634","$394,8499641160752",2021-04-05 00:00:00
2021,Trim. 2,abril,6,"$577,6166368174842","$441,820820711902",2021-04-06 00:00:00
2021,Trim. 2,abril,7,"$288,3059060009929","$417,1344811717722",2021-04-07 00:00:00
2021,Trim. 2,abril,8,"$468,9769405348026","$411,3626017384108",2021-04-08 00:00:00
2021,Trim. 2,abril,9,"$244,8160487787871","$378,053291146486",2021-04-09 00:00:00
2021,Trim. 2,abril,10,"$144,3220240499815","$339,0980799637353",2021-04-10 00:00:00
2021,Trim. 2,abril,11,,"$339,0980799637353",2021-04-11 00:00:00
2021,Trim. 2,abril,12,"$361,7398540014876","$342,3326191119856",2021-04-12 00:00:00
2021,Trim. 2,abril,13,"$788,1265836257973","$410,5577134013333",2021-04-13 00:00:00
2021,Trim. 2,abril,14,"$284,7286443857008","$368,7165716253642",2021-04-14 00:00:00
2021,Trim. 2,abril,15,"$683,800109493749","$425,2157435529008",2021-04-15 00:00:00
2021,Trim. 2,abril,16,"$486,3793239772601","$427,7017983303948",2021-04-16 00:00:00
2021,Trim. 2,abril,17,"$122,7041000824235","$410,2572342309142",2021-04-17 00:00:00
2021,Trim. 2,abril,18,,"$454,5797692610697",2021-04-18 00:00:00
2021,Trim. 2,abril,19,"$527,9509557929816","$465,0613673370572",2021-04-19 00:00:00
2021,Trim. 2,abril,20,"$962,6390928078148","$550,904115737961",2021-04-20 00:00:00
2021,Trim. 2,abril,21,"$1052,701314852883","$588,700505913259",2021-04-21 00:00:00
2021,Trim. 2,abril,22,"$1097,080988428217","$704,7508407764755",2021-04-22 00:00:00
2021,Trim. 2,abril,23,"$986,9186164277884","$748,0534846241954",2021-04-23 00:00:00
2021,Trim. 2,abril,24,"$170,5282622317756","$702,9319043748407",2021-04-24 00:00:00
2021,Trim. 2,abril,25,,"$799,6365384235768",2021-04-25 00:00:00
2021,Trim. 2,abril,26,"$1268,441429299889","$866,6086656916214",2021-04-26 00:00:00
2021,Trim. 2,abril,27,"$874,5636914491472","$916,1247707853591",2021-04-27 00:00:00
2021,Trim. 2,abril,28,"$684,9128817943673","$876,4495977834383",2021-04-28 00:00:00
2021,Trim. 2,abril,29,"$369,4735852528021","$778,845636411998",2021-04-29 00:00:00
2021,Trim. 2,abril,30,"$1222,950738749717","$796,8270293150696",2021-04-30 00:00:00
2021,Trim. 2,mayo,1,,"$765,1450981296163",2021-05-01 00:00:00
2021,Trim. 2,mayo,2,,"$884,0684653091845",2021-05-02 00:00:00
2021,Trim. 2,mayo,3,"$179,1219845996516","$766,577385190929",2021-05-03 00:00:00
2021,Trim. 2,mayo,4,"$229,004501324377","$593,3378971950104",2021-05-04 00:00:00
2021,Trim. 2,mayo,5,"$303,1645609272283","$498,1047087746906",2021-05-05 00:00:00
2021,Trim. 2,mayo,6,"$229,9107966692124","$422,2710279204981",2021-05-06 00:00:00
2021,Trim. 2,mayo,7,"$125,1694257584373","$381,5536680047706",2021-05-07 00:00:00
2021,Trim. 2,mayo,8,"$138,4512334084291","$200,8037504478893",2021-05-08 00:00:00
2021,Trim. 2,mayo,9,,"$200,8037504478893",2021-05-09 00:00:00
2021,Trim. 2,mayo,10,"$337,7137403444153","$220,3623204331073",2021-05-10 00:00:00
2021,Trim. 2,mayo,11,"$576,1945050396017","$277,086966210243",2021-05-11 00:00:00
2021,Trim. 2,mayo,12,"$3013,108202684505","$674,8160664045471",2021-05-12 00:00:00
2021,Trim. 2,mayo,13,"$372,3952317339788","$684,7061622340827",2021-05-13 00:00:00
2021,Trim. 2,mayo,14,"$462,1113164939184","$717,8776650661838",2021-05-14 00:00:00
2021,Trim. 2,mayo,15,"$277,000466156396","$739,5678136944636",2021-05-15 00:00:00
2021,Trim. 2,mayo,16,,"$839,7539104088027",2021-05-16 00:00:00
2021,Trim. 2,mayo,17,"$381,8314861655578","$774,3364212311963",2021-05-17 00:00:00
2021,Trim. 2,mayo,18,"$503,9398946803037","$798,0830147077519",2021-05-18 00:00:00
2021,Trim. 2,mayo,19,"$2105,938182121741","$1016,617825719486",2021-05-19 00:00:00
2021,Trim. 2,mayo,20,"$387,6854473699022","$641,5574321031139",2021-05-20 00:00:00
2021,Trim. 2,mayo,21,"$650,7198475682671","$681,3180915080122",2021-05-21 00:00:00
2021,Trim. 2,mayo,22,"$151,2229137586221","$636,9054625458272",2021-05-22 00:00:00
2021,Trim. 2,mayo,23,,"$696,8896286107323",2021-05-23 00:00:00
2021,Trim. 2,mayo,24,"$588,5544469307168","$681,4131740850158",2021-05-24 00:00:00
2021,Trim. 2,mayo,25,"$317,2247076334585","$672,183634294716",2021-05-25 00:00:00
2021,Trim. 2,mayo,26,"$472,3950764831005","$667,6772316951156",2021-05-26 00:00:00
2021,Trim. 2,mayo,27,"$457,1030786273668","$432,1293597673477",2021-05-27 00:00:00
2021,Trim. 2,mayo,28,"$435,9727906903818","$439,0275516702733",2021-05-28 00:00:00
2021,Trim. 2,mayo,29,"$234,830695977541","$379,6148157287411",2021-05-29 00:00:00
2021,Trim. 2,mayo,30,,"$417,6801327237609",2021-05-30 00:00:00
2021,Trim. 2,mayo,31,"$1396,029695110556","$557,4443559218745",2021-05-31 00:00:00
2021,Trim. 2,junio,1,"$1610,459772727611","$703,4308310357166",2021-06-01 00:00:00
2021,Trim. 2,junio,2,"$645,7205716991206","$750,3588116165254",2021-06-02 00:00:00
2021,Trim. 2,junio,3,"$618,4340720666952","$771,2215252713246",2021-06-03 00:00:00
2021,Trim. 2,junio,4,"$660,4439873976023","$800,2702265242153",2021-06-04 00:00:00
2021,Trim. 2,junio,5,"$176,2765986278914","$763,1707705152884",2021-06-05 00:00:00
2021,Trim. 2,junio,6,,"$851,2274496049127",2021-06-06 00:00:00
2021,Trim. 2,junio,7,"$732,7453228539439","$834,3014314976315",2021-06-07 00:00:00
2021,Trim. 2,junio,8,"$457,8018436184009","$700,2688812844665",2021-06-08 00:00:00
2021,Trim. 2,junio,9,"$438,4243167955279","$532,8352447227404",2021-06-09 00:00:00
2021,Trim. 2,junio,10,"$296,9858107758785","$483,0159931622772",2021-06-10 00:00:00
2021,Trim. 2,junio,11,"$771,73286237658","$504,9158203494036",2021-06-11 00:00:00
2021,Trim. 2,junio,12,"$327,3362069776999","$457,3289945751318",2021-06-12 00:00:00
2021,Trim. 2,junio,13,,"$504,1710605663386",2021-06-13 00:00:00
2021,Trim. 2,junio,14,"$1800,124760135534","$689,3073033619379",2021-06-14 00:00:00
2021,Trim. 2,junio,15,"$580,6740179486649","$667,5828312326123",2021-06-15 00:00:00
2021,Trim. 2,junio,16,"$669,7531589400729","$697,8615905642798",2021-06-16 00:00:00
2021,Trim. 2,junio,17,"$373,4837322269204","$688,584364197336",2021-06-17 00:00:00
2021,Trim. 2,junio,18,"$455,4864434113774","$711,2273117166927",2021-06-18 00:00:00
2021,Trim. 2,junio,19,"$192,4990395273735","$628,4796227382348",2021-06-19 00:00:00
2021,Trim. 2,junio,20,,"$678,6701920316572",2021-06-20 00:00:00
2021,Trim. 2,junio,21,"$250,3539253944643","$617,4821539406296",2021-06-21 00:00:00
2021,Trim. 2,junio,22,"$422,729459762097","$420,7113967444243",2021-06-22 00:00:00
2021,Trim. 2,junio,23,"$896,2393153828064","$465,7921535207302",2021-06-23 00:00:00
2021,Trim. 2,junio,24,"$219,0838352361232","$401,4108215630232",2021-06-24 00:00:00
2021,Trim. 2,junio,25,"$501,6658738748611","$419,7225560841576",2021-06-25 00:00:00
2021,Trim. 2,junio,26,"$224,1832539005477","$386,6792432968962",2021-06-26 00:00:00
2021,Trim. 2,junio,27,,"$419,0426105918166",2021-06-27 00:00:00
2021,Trim. 2,junio,28,"$829,151021265568","$477,6295264023526",2021-06-28 00:00:00
2021,Trim. 2,junio,29,"$409,7489486210272","$500,4002440061472",2021-06-29 00:00:00
2021,Trim. 2,junio,30,"$310,9205799612604","$484,427546891742",2021-06-30 00:00:00
